task,segment,step,time_s,q1,q2,q3,q4,q5,q6,selfDist_mm,selfCollision,envCollision,tcpX_mm,tcpY_mm,tcpZ_mm
1,1,80,0.3206,147.614,-49.905,90.970,-7.274,-37.351,-28.012,0.00,1,0,1151.5,-300.9,280.1
1,1,90,0.3607,147.614,-50.108,90.892,-6.993,-37.351,-28.012,0.00,1,0,1151.9,-301.2,285.7
1,1,100,0.4008,147.614,-50.347,90.800,-6.662,-37.351,-28.012,0.00,1,0,1152.5,-301.6,292.2
1,1,110,0.4409,147.614,-50.621,90.694,-6.282,-37.351,-28.012,0.00,1,0,1153.1,-302.0,299.7
1,1,120,0.4810,147.614,-50.929,90.576,-5.855,-37.351,-28.012,0.00,1,0,1153.7,-302.4,308.2
1,1,130,0.5210,147.614,-51.270,90.445,-5.384,-37.351,-28.012,0.00,1,0,1154.4,-302.8,317.5
1,1,140,0.5611,147.614,-51.640,90.302,-4.871,-37.351,-28.012,0.00,1,0,1155.0,-303.2,327.7
1,1,150,0.6012,147.614,-52.038,90.149,-4.320,-37.351,-28.012,0.00,1,0,1155.6,-303.6,338.6
1,1,160,0.6413,147.614,-52.459,89.987,-3.736,-37.351,-28.012,0.00,1,0,1156.1,-303.9,350.3
1,1,170,0.6814,147.614,-52.901,89.816,-3.124,-37.351,-28.012,0.00,1,0,1156.6,-304.2,362.5
1,1,180,0.7214,147.614,-53.360,89.640,-2.489,-37.351,-28.012,0.00,1,0,1157.0,-304.4,375.2
1,1,190,0.7615,147.614,-53.832,89.458,-1.836,-37.351,-28.012,0.00,1,0,1157.3,-304.6,388.3
1,1,200,0.8016,147.614,-54.311,89.274,-1.171,-37.351,-28.012,0.00,1,0,1157.5,-304.7,401.6
1,1,210,0.8417,147.614,-54.795,89.087,-0.501,-37.351,-28.012,0.00,1,0,1157.5,-304.8,415.1
1,1,220,0.8818,147.614,-55.278,88.901,0.168,-37.351,-28.012,0.00,1,0,1157.5,-304.7,428.6
1,1,230,0.9218,147.614,-55.757,88.717,0.831,-37.351,-28.012,0.00,1,0,1157.3,-304.6,441.9
1,1,240,0.9619,147.614,-56.226,88.536,1.481,-37.351,-28.012,0.00,1,0,1157.0,-304.4,455.0
1,1,250,1.0020,147.614,-56.682,88.361,2.112,-37.351,-28.012,0.00,1,0,1156.6,-304.2,467.8
1,1,260,1.0421,147.614,-57.120,88.192,2.719,-37.351,-28.012,0.00,1,0,1156.1,-303.9,480.1
